ID,Min of Date Sent,Max of Date Sent,Days In Production,,,,,,,,
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/26/2022,91,,,,,,,,
1.06127E+11,8/31/2022,11/30/2022,91,,,,,,,,
1.0613E+11,8/31/2022,11/30/2022,91,,,,,,,,
1.0613E+11,8/31/2022,11/30/2022,91,,,,,,,,
1.05733E+11,7/27/2022,10/24/2022,89,,,,,,,,
1.05733E+11,7/27/2022,10/24/2022,89,,,,,,,,
1.06859E+11,10/31/2022,1/27/2023,88,,,,,,,,
1.06859E+11,10/31/2022,1/27/2023,88,,,,,,,,
1.07165E+11,11/28/2022,2/24/2023,88,,,,,,,,
1.07166E+11,11/28/2022,2/24/2023,88,,,,,,,,
1.07166E+11,11/28/2022,2/24/2023,88,,,,,,,,
1.07166E+11,11/28/2022,2/24/2023,88,,,,,,,,
1.07166E+11,11/28/2022,2/24/2023,88,,,,,,,,
1.05733E+11,7/27/2022,10/21/2022,86,,,,,,,,
1.05733E+11,7/27/2022,10/20/2022,85,,,,,,,,
1.05733E+11,7/27/2022,10/19/2022,84,,,,,,,,
1.06127E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.06127E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.06127E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.06127E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.0613E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.0613E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.0613E+11,8/31/2022,11/23/2022,84,,,,,,,,
1.06859E+11,10/31/2022,1/19/2023,80,,,,,,,,
1.07165E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07166E+11,11/28/2022,2/16/2023,80,,,,,,,,
1.07565E+11,1/9/2023,3/30/2023,80,,,,,,,,
1.05733E+11,7/27/2022,10/14/2022,79,,,,,,,,
1.05733E+11,7/27/2022,10/13/2022,78,,,,,,,,
1.05733E+11,7/27/2022,10/13/2022,78,,,,,,,,
1.05733E+11,7/27/2022,10/13/2022,78,,,,,,,,
1.05733E+11,7/27/2022,10/13/2022,78,,,,,,,,
1.06127E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.06127E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.06127E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.06127E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.06129E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.06129E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.0613E+11,8/31/2022,11/17/2022,78,,,,,,,,
1.07565E+11,1/9/2023,3/24/2023,74,,,,,,,,
1.07565E+11,1/9/2023,3/24/2023,74,,,,,,,,
